Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"MBIA","MBI","YES","-.47","-.49","1","-1.9","93","23","-18.52","154","32","38","-203","-145","794","Insurance - Multi line","Finance","562.29"
"Merchants Bancorp","MBIN","YES","1.18","1.21","2","4.73","474.85","117.65","29.31","606.77","303.77899","149.645","219.72099","222.20599","10623.32031","Banks - Northeast","Finance","1128.4"
"Mustang Bio","MBIO","YES","-3","-3.15","1","-10.92","","","","","-74.16601","0","-77.52501","-74.02401","78.85199","Medical - Biomedical and Genetics","Medical","24.71"
"Mobileye Global Inc.","MBLY","YES",".15",".17","4",".67","2240.854","501.208","34.85","1869","-8","947","-82","1172","1516","Automotive - Original Equipment","Auto-Tires-Trucks","31933.93"
"Microbot Medical","MBOT","YES","","","","","","","","","-13.16801","0","-13.16801",".10199","8.814","Medical - Instruments","Medical","15.29"
"Malibu Boats","MBUU","YES","2.26","1.63","2","8.23","1308.64294","322.75","31.12","1214.88","212.83999","904.82598","157.632","196.99899","298.49899","Leisure and Recreation Products","Consumer Discretionary","1063.14"
"Mercantile Bank","MBWM","YES","1.16","1.09","3","4.41","213.19999","54.067","7.11","213.92","89.34799","10.03699","61.06299","74.008","3974.70996","Banks - Midwest","Finance","463.7"
"Moelis & Company","MC","YES",".39",".51","4","1.97","964.40698","217.888","-36.05","985.3","216.32","0","150.345","177.38299","297.38198","Financial - Investment Bank","Finance","2644.12"
"Metropolitan Bank Holding","MCB","YES","2.07","2.16","1","8.38","271.14001","66.83","45.87","287.33","99.19499","29.284","59.284","98.763","5138.66992","Banks - Northeast","Finance","322.8"
"Macatawa Bank","MCBC","YES","","","","","","","15.3","94.93","44.05099","3.773","34.73099","36.289","1925.45397","Banks - Midwest","Finance","331.67"
"MetroCity Bankshares","MCBS","YES","","","","","","","16.75","166.42","95.26799","23.558","62.602","69.468","3234.45703","Banks - Southeast","Finance","408.08"
"McDonald's","MCD","YES","2.63","2.86","10","10.49","24265.125","6044.15185","-.17","23182.6","9032.40039","9975.39941","6177.3999","9355.89941","5424.20019","Retail - Restaurants","Retail-Wholesale","206933.19"
"MasterCraft Boat","MCFT","YES",".91","1.35","2","4.58","632.06597","145.32499","34.62","707.86","77.857","545.5","58.214","98.452","146.11","Leisure and Recreation Products","Consumer Discretionary","495.96"
"Microchip Technology","MCHP","YES","1.63","1.56","10","6.16","8634.75292","2235.03393","25.42","6820.9","1739.5","2371.30004","1285.5","3810.69995","2452.60009","Semiconductor - Analog and Mixed","Computer and Technology","43111.54"
"Marchex","MCHX","YES","-.04","-.03","2","-.15","51.858","12.84899","-2.44","52.17","-8.061","20.46199","-8.245",".56099","30.885","Internet - Services","Computer and Technology","81.72"
"McKesson","MCK","YES","5.79","6.22","4","26.32","286036.03125","68741.125","10.8","263966","2106","250836","1114","4587","46231","Medical - Dental Supplies","Medical","50679.84"
"Moody's","MCO","YES","2.27","2.43","6","9.29","5815.87792","1441.25195","-12.06","5468","1991","1613","1374","1913","4094","Financial - Miscellaneous Services","Finance","54727.78"
"Seres Therapeutics","MCRB","YES","-.1","-.39","3","-1.23","106.51799","57.88999","-95.08","7.13","-244.137","0","-250.157","-242.135","194.764","Medical - Biomedical and Genetics","Medical","727.46"
"Monarch Casino & Resort","MCRI","YES","1.19","1.47","3","4.82","495.66699","123.567","20.86","477.87","111.442","218.27799","87.47899","134.85299","89.429","Gaming","Consumer Discretionary","1411.03"
"The Marcus","MCS","YES",".31",".27","2",".47","751.13","210.77499","47.82","677.39","13.33199","386.367","-11.97201","64.11499","63.895","Leisure and Recreation Services","Consumer Discretionary","517.73"
"Mister Car Wash","MCW","YES",".09",".08","5",".34","946.76599","240.80799","15.58","876.51","187.71899","268.46701","112.9","194.16","106.137","Consumer Services - Miscellaneous","Consumer Discretionary","2467.58"
"Mercury General","MCY","YES","0",".35","1","0","4202.18994","1048.57397","-8.77","3643.07","-653.48298","4016.83105","-512.672","-44.69901","1068.55004","Insurance - Property and Casualty","Finance","1805.65"
"Pediatrix Medical Group, Inc.","MD","YES",".38",".44","7","1.53","2034.12902","496.05999","3.18","1972.02","121.065","1504.98803","66.33499","177.36","427.98901","Medical Services","Medical","1232.78"
"MongoDB","MDB","YES",".19",".15","8","1.03","1497.32495","346.30398","46.95","1284.04","-323.45701","349.30398","-345.39802","101.01999","2236.58398","Internet - Software","Computer and Technology","15120.33"
"M.D.C.","MDC","YES",".62",".71","4","2.54","3706.29809","972.35998","8.82","5717.99","759.854","4336.2539","562.13897","585.59997","5259.10986","Building Products - Home Builders","Construction","2707.2"
"Madrigal Pharmaceuticals","MDGL","YES","-5.03","-5.11","6","-19.6","161","","","","-291.38599","0","-295.35001","-294.086","361.36898","Medical - Drugs","Medical","4490.61"
"Medigus Ltd. Sponsored ADR","MDGS","YES","","","","-4.8","","","1805.46","10.12","4.151","5.31699","6.794","4.366","31.65399","Technology Services","Business Services","4.4"
"Mondelez International","MDLZ","YES",".7",".82","7","3.16","34187.125","7924.90087","9.67","31496","3651","20184","2717","5199","10091","Food - Miscellaneous","Consumer Staples","96862.96"
"VERADIGM INC","MDRX","YES",".19",".22","4",".88","647.05499","158.17799",".02","1503","174.992","883.47198","134.438","370.73699","761.34197","Technology Services","Business Services","1402.9"
"Medtronic","MDT","YES","1.56","1.16","8","5.28","30923.86132","8248.16992","5.21","31686","6070","10145","5040","10212","23059","Medical - Products","Medical","106833.03"
"MDU Resources Group","MDU","YES","","","","2.01","","","22.76","6973.9","581.33197","5828.74707","367.48901","709.28698","2011.74804","Utility - Gas Distribution","Utilities","6055.77"
"MedAvail","MDVL","YES","","","","-.33","","","58.43","22.13","-43.224","21.812","-43.815","-41.238","27.385","Medical Services","Medical","22.73"
"MediWound","MDWD","YES","-.49","-.49","3","-1.69","21.18","4.17","11.5","26.5","-7.884","13.331","-19.59901","-18.327","45.84","Medical - Drugs","Medical","91.3"
"MiMedx Group","MDXG","YES","-.02","0","2","-.06","295.74301","73.32499","3.57","267.84","-24.97501","48.316","-30.19701","-32.264","134.19799","Medical - Biomedical and Genetics","Medical","378.76"
"23andMe","ME","YES","","","","","326.5","","11.47","271.89","-220.97001","138.94799","-217.49001","-177.021","601.789","Medical - Biomedical and Genetics","Medical","1028.81"
"Mayville Engineering","MEC","YES",".24",".26","1",".95","577.82","147.67999","18.59","539.39","25.774","478.32299","18.72699","48.30099","141.30299","Engineering - R and D Services","Construction","270.52"
"MEDIFAST","MED","YES","3.18","2.95","1","10.72","1428.90002","407.1","4.75","1598.58","184.75999","458.16299","143.56799","174.455","222.78399","Food - Miscellaneous","Consumer Staples","1034.71"
"Medpace","MEDP","YES","1.86","1.98","2","7.66","1703.19995","415","27.8","1460","285.76501","534.88702","245.36799","267.08898","333.962","Medical Services","Medical","5879.32"
"Montrose Environmental Group","MEG","YES","-.31","-.28","2","-.98","570.77301","143.86999","-.37","544.42","-24.33","351.88198","-31.81901","24.94899","247.92799","Waste Removal Services","Business Services","973.82"
"Methode Electronics","MEI","YES",".65",".56","2","2.53","1162.94995","284.75","6.95","1163.6","122","898.70001","102.19999","156","629","Electronics - Connectors","Computer and Technology","1500.6"
"MEI Pharma","MEIP","YES","-.12","","","-.27","42.345",".75","59.38","40.7","-54.454","0","-54.454","-74.88","167.126","Medical - Drugs","Medical","30.65"
"MercadoLibre","MELI","YES","3.61","4.51","3","14.97","12943.69433","3115.91894","49.05","10537","1101","5374","482","885","10953","Internet - Commerce","Retail-Wholesale","62570.9"
"Methanex","MEOH","YES",".89",".92","4","3.47","3939.6499","1012.57299","-2.35","4311","712.89898","3446.10107","353.82998","715.41998","1876.37402","Chemical - Diversified ","Basic Materials","3035.56"
"Mercer International","MERC","YES",".27",".24","1","1.35","","","26.49","2280.94","416.802","1782.73596","247.039","391.19198","1178.17504","Paper and Related Products","Basic Materials","613.37"
"Mesa Air Group","MESA","YES","-.05","0","1","-.52","599.08001","153.01499","5.44","531","-199.379","415.957","-182.678","50.15599","98.33399","Transportation - Airline","Transportation","92.12"
"Mesoblast Limited","MESO","YES","-.19","-.15","1","-.65","8.94169","3.04999","36.99","10.21","-74.298","30.75699","-91.34701","-86.96701","69.83699","Medical - Biomedical and Genetics","Medical","492.4"
"MetLife","MET","YES","2.07","2.1","6","8.32","68894.33593","17063.92578","-1.66","69898","2859","55005","2539","5258","55747","Insurance - Multi line","Finance","45741.57"
"Meta Platforms","META","YES","2.37","2.49","12","10.23","121950.5625","29220.5039","-1.12","116609","28819","25249","23200","35236.48046","59549","Internet - Software","Computer and Technology","560269.38"
"Ramaco Resources","METC","YES",".85","1.04","1","3.47","682.94396","158.29899","99.61","565.69","153.024","332.95999","116.04199","157.727","147.48899","Coal","Oils-Energy","382.29"
"MFA Financial","MFA","YES",".35",".36","1","1.41","224.39999","56.09999","33.15","482.42","27.26199","0","-231.581","196.85099","8012.81982","REIT and Equity Trust","Finance","1052.75"
"Manulife Financial Corp","MFC","YES",".59",".63","4","2.42","44300.64062","11309.54003","-73.26","13189.35","7766.61181","25629.74023","5525.16406","5266.66894","90906.36718","Insurance - Life Insurance","Finance","34527.89"
"Mizuho Financial Group","MFG","YES","","","",".37","","","16.7","35303.21","492.63299","678.99902","-932.02601","6366.06494","1608714","Banks - Foreign","Finance","36936.12"
"Mercurity Fintech Holding","MFH","YES","","","","","","","-52.21",".67","-12.386",".703","-20.74601","-12.386","1.74199","Financial Transaction Services","Business Services","10.24"
"MidCap Financial Investment Corporation","MFIC","YES",".43",".43","4","1.72","262.94699","66.203","8.07","230.35","24.047","0","1.28699","42.812","111.61499","Financial - Miscellaneous Services","Finance","740.91"
"Medallion Financial","MFIN","YES",".34",".36","2","1.3","177.42999","43.63199","8.2","206.15","81.369","22.666","43.84","57.776","1971.31896","Financial - SBIC & Commercial Industry","Finance","159.16"
"Mistras Group","MG","YES","","","","","","","1.51","687.37","19.79899","489.20001","6.499","39.78799","167.882","Electronics - Miscellaneous Products","Computer and Technology","222.06"
"Magna International","MGA","YES","1.14","1.15","4","4.53","40362.71484","10049.71972","4.41","37840","959","33188","592","2582","12525","Automotive - Original Equipment","Auto-Tires-Trucks","14633.05"
"MGE Energy","MGEE","YES",".68","1.1","1","3.36","710.98498","156.33099","17.79","714.52","163.82299","470.595","110.952","196.501","243.47999","Utility - Electric Power","Utilities","2858.72"
"MoneyGram International","MGI","YES",".13",".16","1",".7","1391.40002","353.70001","2.06","1310.1","89.19999","690.20001","34.2","156.6","172.1","Financial - Miscellaneous Services","Finance","1024.24"
"Magic Software Enterprises","MGIC","YES",".28",".29","1","1.14","589.09997","141.89999","18","566.79","45.263","411.43701","40.66699","67.51699","250.983","Computer - Software","Computer and Technology","657.58"
"MGM Resorts International","MGM","YES",".04",".14","7",".53","14238.76171","3474.86401","35.61","13127.49","1498.75305","6652.98291","1473.09301","4987.9121","8154.69189","Gaming","Consumer Discretionary","16026.9"
"Magnite","MGNI","YES",".12",".16","1",".62","546","131.89999","23.2","577.07","-135.59701","307.165","-130.323","317.816","1326.26098","Internet - Software","Computer and Technology","1227.67"
"MacroGenics","MGNX","YES","-.42","-.49","3","-.5","219.414","33.533","96.19","151.94","-119.75801","7.38399","-119.75801","-107.49","222.17999","Medical - Products","Medical","453.89"
"MGP Ingredients","MGPI","YES","1.32","1.4","3","5.13","829.85302","209.83299","24.83","782.36","145.623","529.052","109.46199","130.046","454.16198","Food - Miscellaneous","Consumer Staples","2108.32"
"McGrath RentCorp","MGRC","YES",".98","1.26","1","4.6","795","191","18.97","733.82","165.188","396.915","115.138","226.498","190.97999","Financial - Leasing Companies","Finance","2159.22"
"Magenta Therapeutics","MGTA","YES","-.11","-.04","2","-.48","","","","","-76.462","0","-76.462","1.92499","115.60199","Medical - Biomedical and Genetics","Medical","45.08"
"MeiraGTx","MGTX","YES","-.68","-.7","1","-2.51","28.40999","7.73","-57.77","15.92","-124.669","0","-129.61501","-120.28","154.339","Medical - Biomedical and Genetics","Medical","260.36"
"Magnolia Oil & Gas Corp","MGY","YES",".7",".76","6","2.89","1458.27001","356.221","57.14","1694.49","1080.32897","64.75399","893.83697","1070.79003","850.747","Oil and Gas - Exploration and Production - United States","Oils-Energy","4776.16"
"Mohawk Industries","MHK","YES","2.85","2.91","6","8.98","10870.15527","2878.49804","4.79","11737.07","235.83099","8793.63867","25.24699","2114.36108","5895.09912","Textile - Home Furnishing","Consumer Discretionary","5883.2"
"Maiden Holdings","MHLD","YES","","","","","","","-41.11","58.13","-41.06201","76.50199","-60.04101","-63.515","613.44702","Insurance - Property and Casualty","Finance","218.29"
"MI Homes","MHO","YES","2.55","2.87","1","11.12","3451.8999","818.59997","10.29","4131.39","637.45697","3069.19897","490.66198","521.78399","3382.6831","Building Products - Home Builders","Construction","1647.93"
"The Middleby","MIDD","YES","2.31","2.57","6","9.77","4154.208","1029.89794","24.06","4032.85","653.39202","2586.29907","436.569","631.10101","2005.99597","Manufacturing - General Industrial ","Industrial Products","7308.17"
"Airspan Networks","MIMO","YES","","","","","232.37699","54.5","-5.65","167.26","-65.185","100.819","-85.38201","-80.76001","89.69699","Communication - Network Software","Computer and Technology","41.82"
"MIND Technology","MIND","YES","","","","","","","8.92","23.11","-13.61801","17.08499","-15.08501","-11.365","29.245","Technology Services","Business Services","7.1"
"Mirion Technologies","MIR","YES","","","","","","","122.85","717.8","-264.70002","407.70001","-276.9","252.1","480.6","Technology Services","Business Services","1855.95"
"Mirum Pharmaceuticals","MIRM","YES","-.84","-.71","5","-3.22","120.856","29.31999","302.66","77.06","-126.09201","12.37399","-135.665","-131.984","190.225","Medical - Biomedical and Genetics","Medical","948.77"
"Miromatrix Medical","MIRO","YES","-.34","-.23","1","-1.09",".02999",".00999","2790.91",".95","-29.91201",".5","-29.96","-28.81501","27.311","Medical - Biomedical and Genetics","Medical","42.21"
"Milestone Pharmaceuticals","MIST","YES","-.42","-.43","3","-1.71","","","-66.67","5","-58.38801","0","-58.38801","-58.299","71.803","Medical - Biomedical and Genetics","Medical","129.49"
"Mitek Systems","MITK","YES",".25",".26","1",".98","165.25","43.61999","18.25","119.8","13.93099","14.53999","7.978","48.76599","204.05599","Computer - Optical Imaging","Computer and Technology","415.08"
"AG Mortgage Investment Trust","MITT","YES","","","","","","","155.16","180.3","76.07599","8.09599","-53.1","25.707","4206.13476","REIT and Equity Trust","Finance","123.55"
"MiX Telematics","MIXT","YES",".14",".16","2",".64","159.69599","37.733","12.92","143.29","13.36499","51.859","8.94699","27.54899","74.62999","Internet - Software","Computer and Technology","195.07"
"McCormick & Company","MKC","YES",".57",".66","3","2.6","6747.47705","1664.36999",".52","6350.5","961.90002","4076","682","884.5","2386.69995","Food - Miscellaneous","Consumer Staples","23014.29"
"Markforged Holding Corporation","MKFG","YES","-.08","-.07","1","-.28","102.5","23.6","10.67","100.96","-25.79501","50.25199","-25.38801","-51.017","229.81599","Manufacturing - General Industrial ","Industrial Products","172.44"
"Markel","MKL","YES","20.31","21.13","4","82.12","14741.52246","3800.97412","-9.12","11675.33","47.22299","6961.17187","-214.12301","1462.69494","19298.58007","Insurance - Property and Casualty","Finance","17682.07"
"MKS Instruments","MKSI","YES","1.51","1.06","3","3.39","3767.41308","1056.953","20.25","3547","610","2000","333","921","2794","Electronics - Manufacturing Machinery","Computer and Technology","5534.21"
"MarketWise","MKTW","YES","-.02","-.04","1","-.12","399","102","-6.7","512.4","102.66","62.69699","17.98999","3.378","279.17498","Technology Services","Business Services","521.47"
"MarketAxess","MKTX","YES","1.89","1.87","6","7.82","803.38897","199.48699","2.77","718.3","338.988","0","250.22399","318.134","1188.55895","Securities and Exchanges","Finance","12910.64"
"MoneyLion","ML","YES","","","","-.22","","","99.14","340.74","-184.90101","106.41899","-189.066","-67.378","317.86099","Financial Transaction Services","Business Services","130.41"
"Melco Resorts & Entertainment Limited","MLCO","YES","-.11","-.03","2","-.1","3680.72802","839.47198","-32.92","1349.98","-715.20899","1063.45703","-930.52601","-344.76999","2074.67211","Gaming","Consumer Discretionary","5621.47"
"Mueller Industries","MLI","YES","","","","","","","5.65","3982.46","876.841","2864.86206","658.31597","702.40399","1534.65295","Metal Products - Procurement and Fabrication","Industrial Products","3761.08"
"MillerKnoll","MLKN","YES",".39",".39","1","1.83","4074.19995","943.79998","60.07","3946","29.2","2593.30004","-27.10001","331.03799","1317.90002","Internet - Services","Computer and Technology","1387.78"
"Martin Marietta Materials","MLM","YES","4.72","5.72","8","14.84","6265.03417","1701.38","13.79","6160.7","1260.09997","4737.3999","866.79998","1260.40002","2876.8999","Building Products - Concrete and Aggregates","Construction","21027.64"
"MeridianLink","MLNK","YES",".07",".09","3",".29","306.82199","76.62899","7.61","288.05","29.65099","106.331","1.294","85.375","128.132","Technology Services","Business Services","1358.59"
"Miller Industries","MLR","YES","","","","","","","18.26","848.46","29.111","766.03698","20.346","32.108","376.048","Automotive - Original Equipment","Auto-Tires-Trucks","386.57"
"Milestone Scientific","MLSS","YES","","","","","","","-14.55","8.81","-8.773","3.90499","-8.70601","-8.5616","12.97099","Medical - Dental Supplies","Medical","57.84"
"Meta Materials","MMAT","YES","-.04","-.04","2","-.16","21.2","3.45","149.82","10.2","-84.76201","3.036","-79.102","-72.98301","22.60499","Electronics - Miscellaneous Components","Computer and Technology","162.3"
"Marsh & McLennan Companies","MMC","YES","2.19","1.49","6","7.5","21926.89257","5709.67285","4.54","20720","4551","0","3050","4176","8299","Insurance - Brokerage","Finance","83853.5"
"Marcus & Millichap","MMI","YES","","","","","","",".41","1301.71","142.73699","850.89398","104.22499","117.63099","527.14001","Real Estate - Development","Finance","1246.29"
"Martin Midstream Partners","MMLP","YES","","","","","","","15.46","1018.88","51.25799","623.30603","-10.334","67.18199","211.12699","Transportation - Shipping","Transportation","108.18"
"3M","MMM","YES","2.14","2.43","4","8.65","31863.26562","7814.43505","-3.18","34229","6392","19232","5777","7566","14688","Diversified Operations","Conglomerates","56007.18"
"Magellan Midstream Partners","MMP","YES","1.06","1.23","4","4.81","3245.63305","752.531","17.1","3200.4","1089.90002","1119.40002","1036.40002","1246.69995","710.5","Oil and Gas - Production Pipeline - MLB","Oils-Energy","11126.27"
"Maximus","MMS","YES",".95","1.48","2","4.16","4938.96386","1194.36096","8.85","4631.02","323.06298","3691.208","203.828","406.42098","1032.31298","Government Services","Business Services","4876.45"
"Merit Medical Systems","MMSI","YES",".76",".71","5","2.85","1200.54003","308.53799","7.09","1150.98","88.968","631.88201","74.51599","248.44599","529.08398","Medical - Dental Supplies","Medical","4303.41"
"MakeMyTrip Limited","MMYT","YES",".12",".15","2",".65","707.05999","166.16999","85.95","303.92","-20.348","58.75","-45.405","51.046","591.36499","Internet - Delivery Services","Computer and Technology","2511.84"
"MIND C.T.I.","MNDO","YES","","","","","","","-18.06","21.55","5.617","10.04399","5.287","5.48","20.298","Internet - Software","Computer and Technology","38.64"
"monday.com","MNDY","YES","-.2","-.06","5","-.37","690.27398","165.065","68.43","519.03","-129.461","66.52799","-136.86701","-24.81101","923.84497","Internet - Software","Computer and Technology","5910.45"
"MannKind","MNKD","YES","-.04","-.02","3","-.14","172.957","41.09999","32.25","99.77","-62.63101","57.497","-87.40001","-78.28901","234.89599","Medical - Biomedical and Genetics","Medical","1096.63"
"Mind Medicine MindMed","MNMD","YES","-.43","-.46","3","-1.69","","","","","-56.79601","0","-56.79601","-61.459","146.05499","Medical - Biomedical and Genetics","Medical","111.53"
"MediciNova","MNOV","YES","-.07","-.08","1","-.34","","","","4.04","-14.066","0","-14.063",".0177","58.98699","Medical - Biomedical and Genetics","Medical","107.9"
"Monro Muffler Brake","MNRO","YES",".4",".47","2","1.82","1405.67004","341.39999","20.75","1359.33","101.916","877.492","61.568","144.231","245.50199","Consumer Services - Miscellaneous","Consumer Discretionary","1464.64"
"MINISO Group Holding Limited","MNSO","YES","","","",".69","1611.51","412.14999","7.17","1505.75","145.638","1086.76098","98.85299","168.03399","1250.43994","Retail - Apparel and Shoes","Retail-Wholesale","5279.06"
"Monster Beverage","MNST","YES",".39",".4","8","1.42","7082.48388","1855.19299","13.89","6311.05","1571.96398","3136.48291","1191.62402","1252.86499","4764.89697","Beverages - Soft drinks","Consumer Staples","54915.67"
"Montauk Renewables","MNTK","YES",".02",".03","1",".1","166.5","39.59999","38.77","205.56","45.034","57.26699","35.194","58.57899","124.86799","Alternative Energy - Other","Oils-Energy","979.77"
"Momentus","MNTS","YES","","","","-.54","2.25","","-9.39",".3","-90.182",".026","-95.44401","-86.001","76.274","Aerospace - Defense","Aerospace","50.02"
"Momentive Global","MNTV","YES",".09",".12","2",".38","493.79998","121.25","8.37","480.92","-76.824","86.25099","-89.891","55.826","263.45401","Computers - IT Services","Computer and Technology","1398.3"
"Manitex International","MNTX","YES",".04",".02","1",".18","275.20001","68.5","29.46","273.85","2.453","223.835","-4.90101","14.58699","127.50399","Manufacturing - General Industrial ","Industrial Products","104.56"
"Altria Group","MO","YES","1.34","1.3","2","5.05","21086.63085","5517.21386","-3.53","25096","8447","10850","5764","8968","7220","Tobacco","Consumer Staples","79332.59"
"Modine Manufacturing","MOD","YES",".39",".59","1","2.63","2387.8999","547.79998","13.37","2050.1","117.09999","1740.80004","85.19999","119.525","757.59997","Automotive - Original Equipment","Auto-Tires-Trucks","1072.63"
"TOPGOLF CALLAWY","MODG","YES",".46",".34","4",".81","4436.08984","1220.23999","27.52","3995.7","284.70001","1584.59997","157.89999","455","1518.90002","Leisure and Recreation Products","Consumer Discretionary","3835.72"
"Model N","MODN","YES",".25",".27","5",".92","243.60499","61.55699","13.3","219.16","-12.39701","97.12","-28.63501","51.018","261.53601","Internet - Software","Computer and Technology","1290.9"
"ModivCare","MODV","YES","1.68","2.02","3","7.47","2584.92211","641.703","25.44","2511.74","57.08399","2032.07397","-31.806","208.942","346.15399","Medical Services","Medical","1189.65"
"MidWestOne Financial Group","MOFG","YES",".79",".81","2","3.13","206.19999","51.4","11.43","244.28","86.75299","20.245","60.83499","70.997","3878.37109","Banks - Midwest","Finance","364.45"
"Moog","MOG.A","YES","1.52","1.5","2","5.74","3173.51489","811.32098","6.44","3035.78","239.73599","2214.98193","155.177","266.99499","1758.31005","Aerospace - Defense Equipment","Aerospace","3124.78"
"Mogo","MOGO","YES","-.05","-.05","2","-.2","44.79","11.14","15.57","53.03","-122.505","17.468","-127.44001","-15.299","86.61","Technology Services","Business Services","47.99"
"Molina Healthcare","MOH","YES","5.1","4.9","6","19.76","33241.54296","8364.27539","15.13","31974","1173","27175","792","1224","10084","Medical - HMOs","Medical","16639.83"
"Momo","MOMO","YES",".41",".43","1","1.58","1782.66503","432.42001","-19.47","1841.93","306.609","1076.005","215.19999","289.66699","1699.90002","Internet - Software","Computer and Technology","1740.6"
"MorphoSys","MOR","YES","","","","-2.28","258.23001","","38.01","293.27","193.24899","51.226","-159.155","-148.127","1147.41296","Medical - Biomedical and Genetics","Medical","677.79"
"Morphic","MORF","YES","-.88","-.91","3","-3.59","6.4333","4","257.72","70.81","-58.974","0","-59.04101","-57.23601","362.182","Medical - Biomedical and Genetics","Medical","1357.21"
"Morningstar","MORN","YES","","","","","","","10.08","1870.6","159","779.29998","70.5","332.76699","810.79998","Business - Information Services","Business Services","8751.34"
"The Mosaic Company","MOS","YES","2.07","2.06","5","7.55","15126.26074","3758.16088","54.77","19125.2","4780.2998","13369.40039","3582.80004","4936.5","6556.60009","Fertilizers","Basic Materials","14694.38"
"Movado Group","MOV","YES",".26","","","2.79","","","2.66","751.9","122.42299","318.00299","94.52799","107.62999","567.18902","Retail - Jewelry","Retail-Wholesale","549.67"
"Moxian","MOXC","YES","","","","","","","-76.87",".22","-2.678","0","-2.74001","-2.74001","2.73699","Advertising and Marketing","Business Services","19.26"
"MP Materials","MP","YES",".16",".18","3",".75","408.45999","91.91899","58.91","527.51","346.93798","92.218","289.00399","338.91299","1293.828","Mining - Miscellaneous","Basic Materials","4715.75"
"Motorcar Parts of America","MPAA","YES",".25",".3","1","1.12","719.40002","170.5","20.25","650.31","28.704","532.44299","7.361","64.53299","536.98498","Automotive - Replacement Parts","Auto-Tires-Trucks","108.37"
"Mid Penn Bancorp","MPB","YES",".94",".99","1","3.81","191.57","47.20999","30.65","189.26","70.97","14.144","54.80599","61.83","3576.92309","Banks - Northeast","Finance","392.39"
"Marathon Petroleum","MPC","YES","6.31","5.51","6","20.44","130112.89062","33115.72265","48.81","179952","20469","151671","14516","16766","35242","Oil and Gas - Refining and Marketing","Oils-Energy","57332.97"
"MultiPlan","MPLN","YES","","","","","","","-3.39","1079.72","-257.34202","204.098","-572.91199","365.901","446.73699","Medical Services","Medical","703.09"
"MPLX LP","MPLX","YES",".87",".9","5","3.47","10343.28515","2584.17309","15.82","11613","4829","5022","3944","5247","1905","Oil and Gas - Production and Pipelines","Oils-Energy","34616.1"
"Medical Properties Trust","MPW","YES",".4",".42","7","1.6","1448.41699","368.747","-.12","1542.85","959.71899","45.69699","902.59698","1265.21899","1189.86901","REIT and Equity Trust - Other","Finance","4846.23"
"Monolithic Power Systems","MPWR","YES","2.99","3.5","6","13.27","1952.00695","452.428","48.55","1794.15","524.93701","745.596","437.67199","641.43298","1410.61901","Semiconductor - Analog and Mixed","Computer and Technology","22404.12"
"Marine Products","MPX","YES","","","","","","","27.84","380.99","52.13399","287.27801","40.347","42.25199","124.998","Leisure and Recreation Products","Consumer Discretionary","448.03"
"Marqeta","MQ","YES","-.11","-.09","4","-.38","914.75701","223.164","44.67","748.21","-184.88201","428.20498","-184.78","-180.65","1746.76904","Financial Transaction Services","Business Services","2326.66"
"Marpai","MRAI","YES","","","","","","","71.1","24.34","-26.723","17.13599","-26.46801","-22.331","26.538","Technology Services","Business Services","18.42"
"EVERSPIN TECH","MRAM","YES","","","","","","","8.77","59.99","6.41699","26.04","6.129","7.111","44.747","Technology Services","Business Services","135.32"
"MRC Global","MRC","YES",".41",".5","2","1.58","3746.07495","937.73297","26.14","3363","134","2753","75","165","1142","Steel - Pipe and Tube","Industrial Products","777.98"
"Monroe Capital","MRCC","YES",".27",".27","3","1.05","64.79299","16.34","5.08","56.57","14.29399","0","-2.78601","22.19199","23.41399","Financial - Investment Management","Finance","165.75"
"Mercury Systems","MRCY","YES","1.06",".35","4","1.93","1032.17199","322.083","6.95","988.2","24.201","593.24102","11.27499","215.682","815.25201","Computer - Peripheral Equipment","Computer and Technology","2980.94"
"MEREO BIOPHARMA","MREO","YES","","","","-.03","36.5","","","50.14","-40.48601","-1.158","-42.29701","-43.67","76.84999","Medical - Biomedical and Genetics","Medical","111.03"
"Marin Software","MRIN","YES","","","","","","","-18.02","20.02","-17.92201","12.795","-18.227","-14.632","34.49399","Advertising and Marketing","Business Services","15.69"
"Merck & Co.","MRK","YES","1.73","1.95","6","6.87","58514.1875","14376.82812","21.72","59283","16444","17411","14519","22914","35722","Large Cap Pharmaceuticals","Medical","285059.13"
"MARKER THERAPEUTICS","MRKR","YES","","","","-3.4","","","625.76","9.01","-29.931","0","-29.931","-26.251","16.61899","Medical - Drugs","Medical","7.48"
"Moderna","MRNA","YES","-2.11",".27","8","-2.43","7276.72021","1017.73901","4.29","19263","9575","5416","8362","8741","13431","Medical - Biomedical and Genetics","Medical","61145.96"
"Marinus Pharmaceuticals","MRNS","YES","-.79","-.82","4","-2.95","26.54","6.2375","66.03","25.48","-5.75501",".34","-19.816","-18.78701","252.378","Medical - Drugs","Medical","327.29"
