Industry,businessOverview,cleanGeo,cleanName,des,description,symbol
-,-,-,SPDR Bloomberg Barclays Convertible Securities ETF,"The Fund seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of Bloomberg Barclays US Convertible Liquid Bond Index. The Index is designed to represent the market of US convertible securities, such as convertible bonds and convertible preferred stock.",SPDR Bloomberg Barclays Convertible Securities ETF,CWB
FIELD,"Foresight Autonomous Holdings Ltd is a Israel-based technology company.The Company through its wholly owned subsidiary Foresight Automotive Ltd is engaged in the design, development and commercialization of advanced safety driver assistance and autonomous driving solutions for the automotive industry.",US,Foresight Autonomous,-,Foresight Autonomous Holdings Ltd. - American Depositary Shares,FRSX
Residential  Commercial REIT,"Arbor Realty Trust, Inc. is a real estate investment trust. The Company invests in a portfolio of structured finance assets in the multifamily and commercial real estate markets, primarily consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred and direct equity.",US,Arbor Realty Trust ,-,Arbor Realty Trust Common Stock,ABR
Insurance,"Lincoln National Corporation is a holding company, which operates insurance and retirement businesses through subsidiary companies. The Company sells a range of wealth protection, accumulation and retirement income products and solutions, through its business segments. The Company operates through four segments: Annuities segment, which offers fixed including indexed and variable annuities Retirement Plan Services segment, which provides employers with retirement plan products and services Life Insurance segment, which focuses on the creation and protection of wealth through life insurance products, and Group Protection, which offers principally group non-medical insurance products. These products include fixed and indexed annuities, variable annuities, universal life insurance, variable universal life insurance, linked-benefit UL, term life insurance, indexed universal life insurance, employer-sponsored retirement plans and services, and group life, disability and dental.",US,Lincoln National,-,Lincoln National Corporation Common Stock,LNC
Metals  Mining,"Dreadnought Resources Ltd, formerly Tychean Resources Limited, is engaged in the natural resources exploration and development. The Companys segments include Spargoville, Suplejack and Valley Floor Resources. Its projects include Spargoville Project, Valley Floor Project and Tanami Project. Its Spargoville project is located in Eastern Goldfields in Western Australia. It has exploration tenement package of approximately 3 granted mining leases, over two granted exploration licenses, approximately five prospecting licenses and over two miscellaneous licenses. The total exploration area is approximately 11,44 hectares. The Valley Floor Project is located in the Eastern Goldfields directly south of Kambalda, Western Australia and covers an exploration area of approximately 4 square kilometers. It consists of the granted exploration licenses, including E151399, E151434, E151249 and E151249.",Europe,Duke Realty,-,Duke Realty Corporation Common Stock,DRE
Personal  Household Products  Services,"Kimberly-Clark Corporation is engaged in manufacturing and marketing a range of products made from natural or synthetic fibers using technologies in fibers, nonwovens and absorbency. The Companys segments include Personal Care, Consumer Tissue and K-C Professional. The Companys Personal Care segment offers various solutions and products, such as disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, and other related products. The Companys Consumer Tissue segment offers products, such as facial and bathroom tissue, paper towels, napkins and related products. The Companys K-C Professional segment offers solutions and supporting products, such as wipers, tissue, towels, apparel, soaps and sanitizers. The Companys business outside North America includes Developing and Emerging Markets DE and Developed Markets. It sells its products to supermarkets, mass merchandisers, drugstores, warehouse clubs and other retail outlets.",US,Kimberly-Clark,-,Kimberly-Clark Corporation Common Stock,KMB
-,-,-,Global X Funds Global X U.S. Infrastructure Development ETF,"The Fund seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx US Infrastructure Development Index. The Index is designed to measure the performance of US listed companies that provide exposure to domestic infrastructure development.",Global X Funds Global X U.S. Infrastructure Development ETF,PAVE
Insurance,"Arch Capital Group Ltd. provides insurance, reinsurance and mortgage insurance. The Company provides a range of property, casualty and mortgage insurance and reinsurance lines. The Company operates in five segments: insurance, reinsurance, mortgage, other and corporate. The insurance segments product lines include construction and national accounts excess and surplus casualty lenders products professional lines programs property, energy, marine and aviation travel, accident and health, and other. The reinsurance segments product lines include casualty marine and aviation other specialty property catastrophe property excluding property catastrophe, and other. The mortgage segment includes the results of Arch Mortgage Insurance Company and Arch Mortgage Insurance Designated Activity Company, which are providers of mortgage insurance products and services to the United States and European markets. The other segment includes the results of Watford Holdings Ltd.",US,Arch Capital Group Ltd,-,Arch Capital Group Ltd. - Common Stock,ACGL
Homebuilding  Construction Supplies,"Masco Corporation designs, manufactures, markets and distributes branded home improvement and building products. The Company operates through two business segments: Plumbing Products, and Decorative Architectural Products. The Companys portfolio of brands includes BEHR paint DELTA and HANSGROHE faucets, bath and shower fixtures KRAFTMAID and MERILLAT cabinets MILGARD windows and doors, and HOT SPRING spas. The Companys plumbing products include faucets, showerheads, handheld showers, valves, bathing units, shower enclosures and toilets and are sold to home center retailers and to wholesalers and distributors. It also produces architectural coatings, including paints, primers, specialty paints, stains and waterproofing products. In North America, it manufactures and sells value-priced, stock and semi-custom assembled cabinetry for kitchen, bath, storage, home office and home entertainment applications.",US,Masco,-,Masco Corporation Common Stock,MAS
Real Estate Operations,"Radius Global Infrastructure Inc., through its APW Group, operates as an aggregators of rental streams and underlying wireless sites. The Company is engaged in acquisition of wireless telecom real property interests and contractual rights. It purchases, primarily for a lump sum, the right to receive future rental payments generated pursuant to an existing ground lease or rooftop lease between a property owner and an owner of a wireless tower or antennae. It acquires the rental streams by way of a purchase of a real property interest in the land underlying the wireless tower or antennae, commonly easements, usufructs, leasehold and sub-leasehold interests, or fee simple interests, each of which provides with the right to receive all communications rents relating to the property, including the rents from the Tenant Lease. In addition, it purchases contractual interests, such as an assignment of rents, either in conjunction with the property interest or as a stand-alone right.",US,Radius Global Infrastructure,-,"Radius Global Infrastructure, Inc. - Common Stock",RADI
Hotels  Entertainment Services,"Restaurant Brands International Inc. is a quick service restaurant QSR company. The Company has approximately 27, restaurants in more than 1 countries and the United States territories. It owns three quick service restaurant brands: Burger King, Tim Hortons and Popeyes. Tim Hortons restaurants are quick service restaurants with a menu that includes blend coffee, tea, espresso-based hot and cold specialty drinks, baked goods, including donuts, Timbits, bagels, muffins, cookies and pastries, grilled paninis, classic sandwiches, wraps and soups. Burger King restaurants are quick service restaurants featuring flame-grilled hamburgers, chicken, specialty sandwiches, French fries, soft drinks and other food items. Popeyes restaurants are chicken quick service restaurants featuring a Louisiana style menu that includes fried chicken, chicken tenders, fried shrimp, seafood, red beans and rice, and other regional items.",US,Restaurant Brands International,-,Restaurant Brands International Inc. Common Shares,QSR
Biotechnology  Medical Research,"IVERIC bio, Inc. is a biopharmaceutical company. ",US,IVERIC bio,-,"IVERIC bio, Inc. - Common Stock",ISEE
Software  IT Services,"Angi Inc, formerly ANGI Homeservices Inc., is focused on creating digital marketplace for home services, connecting homeowners across the globe with home service professionals. The Company operates brands including Angies List, HomeAdvisor, HomeStars, Instapro, MyBuilder, MyHammer, Travaux and Werkspot. The Companys brand portfolio provides homeowners with tools and resources for home repair, maintenance and improvement projects. Angies List is Americas online review platform and provides services ranging from home repair, maintenance and improvement to auto service and health care. HomeAdvisor is the operator of the home services marketplace across the globe. HomeStars is online platform connecting homeowners with home renovators, repairmen and retailers throughout Canada. Instapro is Italys home services network connecting homeowners with service professionals for home renovation projects.",US,Angi,-,Angi Inc. - Class A Common Stock,ANGI
Metals  Mining,"Trevali Mining Corporation is a Canada-based natural resource company. The Company is engaged in the acquisition, exploration, development and production from mineral properties. The Company holds approximately four properties in Canada and has an interest in a property in Peru with an option on a second Peruvian property. The Company, through its subsidiary Trevali Peru S.A.C., operates the Santander underground metallurgical plant and mine located in Peru. It is producing zinc and lead-silver concentrates. In Canada, the Company owns through its subsidiaries, the Caribou mine and mill, the Halfmile mine and the Stratmat polymetallic deposit all located in northern New Brunswick. In Peru, the Companys Santander mine operations are approximately 2, ton-per-day. In Canada, the Company continues to focus on the commissioning of the Caribou mine and mill in New Brunswick. Its others exploration projects include Ruttan Copper Project, Manitoba, Canada, and Huampar Project, Peru.",US,Grupo Televisa S.A,-,Grupo Televisa S.A. Common Stock,TV
Household Goods,"Purple Innovation, Inc., formerly Global Partner Acquisition Corp., is a comfort technology company. The Company offers a range of mattresses, seat cushions, pillows, platform base, sheets, mattress protectors and powerbase products using its Hyper-Elastic Polymer technology. The Company provides its mattresses under the brand No Pressure. The Company provides various types of cushions, such as Everywhere Purple cushion, Portable Purple cushion, Royal Purple cushion, Purple Back cushion, Ultimate Purple cushion and Simple Purple cushion. The Company has manufacturing sites in Alpine and Grantsville, Utah.",US,Purple Innovation,-,"Purple Innovation, Inc. - Common Stock",PRPL
Pharmaceuticals,"Zoetis Inc. is focused on the discovery, development, manufacture and commercialization of medicines, vaccines, diagnostic products, biodevices, genetic tests and precision livestock farming technology.",US,Zoetis,-,Zoetis Inc. Class A Common Stock,ZTS
Freight  Logistics Services,"Safe Bulkers, Inc. is a holding company. The Companys principal business is the acquisition, ownership and operation of drybulk vessels. The Companys vessels operate across the world, carrying drybulk cargo for the consumers of marine drybulk transportation services. The Company is an international provider of marine drybulk transportation services, transporting bulk cargoes, particularly coal, grain and iron ore, along shipping routes across the world. As of February 17, 217 the Companys fleet included 38 vessels, of which 14 are Panamax class vessels, nine are Kamsarmax class vessels, 12 are Post-Panamax class vessels and three are Capesize class vessels, with an aggregate carrying capacity of 3,421,8 deadweight tonnage dwt. The Companys fleet of Post-Panamax vessels includes Marina, Xenia, Sophia, Eleni, Martine, Andreas K, Panayiota K, Venus Heritage, Venus History, Venus Horizon and Troodos Sun. Its fleet of Capesize vessels includes Kanaris, Pelopidas and Lake Despina.",Europe,Safe Bulkers,-,"Safe Bulkers, Inc Common Stock .1 par value",SB
Software  IT Services,"Cadence Design Systems, Inc. provides solutions that enable its customers to design electronic products. The Companys product categories include Functional Verification, Digital integrated circuits IC Design and Signoff, Custom IC Design and Verification, System Interconnect and Analysis, and intellectual property IP. Functional verification products are used to verify that the circuitry or the software designed to perform as intended. Digital IC design offerings are used to create representations of a digital circuit or an IC that can be verified for correctness prior to implementation. Custom IC design and verification offerings are used to create schematic and physical representations of circuits down to the transistor level for analog and memory designs. System Interconnect and Analysis offerings are used to develop printed circuit boards and IC packages. Design IP offerings consist of functional blocks, which customers integrate into their ICs for the development process.",US,Cadence Design Systems,-,"Cadence Design Systems, Inc. - Common Stock",CDNS
Hotels  Entertainment Services,"Hall of Fame Resort  Entertainment Co., formerly Gordon Pointe Acquisition Corp., is a resort and entertainment company. The Company leverages popularity of professional football and players in partnership with the Pro Football Hall of Fame. The Company also owns the Johnson Controls Hall of Game Village. The Johnson Controls Hall of Game Village is a multi-use sports, entertainment and media destination centered around the Pro Football Hall of Fames campus.",US,Hall of Fame Resort  Entertainment Company,-,Hall of Fame Resort  Entertainment Company - Common Stock,HOFV
Biotechnology  Medical Research,"Adverum Biotechnologies, Inc. is a clinical-stage gene therapy company targeting unmet medical needs for serious ocular and rare diseases.",US,Adverum Biotechnologies,-,"Adverum Biotechnologies, Inc. - Common Stock",ADVM
Biotechnology  Medical Research,"Curis, Inc. is a biotechnology company seeking to develop and commercialize drug candidates for the treatment of cancers.",US,Curis,-,"Curis, Inc. - Common Stock",CRIS
Biotechnology  Medical Research,"Ionis Pharmaceuticals, Inc. is engaged in discovering and developing ribonucleic acid RNA-targeted therapeutics.",US,Ionis Pharmaceuticals,-,"Ionis Pharmaceuticals, Inc. - Common Stock",IONS
Semiconductors  Semiconductor Equipment,"Lam Research Corporation is a supplier of wafer fabrication equipment and services to the semiconductor industry. The Company designs, manufactures, markets, refurbishes and services semiconductor processing equipment used in the fabrication of integrated circuits ICs. It operates through manufacturing and servicing of wafer processing semiconductor manufacturing equipment segment. Its products and services are designed to help its customers build performing devices that are used in a variety of electronic products, including mobile phones, personal computers, servers, wearables, automotive vehicles, and data storage devices. Its customer base includes semiconductor memory, foundry, and integrated device manufacturers IDMs that make products such as non-volatile memory NVM, dynamic random-access memory DRAM, and logic devices. It offers its services in areas like nanoscale applications enablement, chemistry, plasma and fluidics and advanced systems engineering.",US,Lam Research,-,Lam Research Corporation - Common Stock,LRCX
Renewable Energy,"CleanSpark, Inc. is a software and controls technology solutions company focused on solving modern energy challenges. The Company operates through three segments: Energy Segment, Digital Agency Segment and Digital Currency Mining Segment. Energy segment consists of CleanSpark, LLC, CleanSpark Critical Power Systems, Inc., GridFabric and SWS lines of business, this segment provides services, equipment and software to the energy industry. CleanSpark, LLC, provides microgrid engineering, design and software solutions to military, commercial and residential customers. GridFabric, LLC, provides Open Automated Demand Response OpenADR and other middleware communication protocol software solutions to commercial and utility customers. Digital agency segment provides p2k design, software development, and other technology-based consulting services. Digital currency mining segment consists of ATL and CleanBlok, LLC, this segment mines digital currency assets, namely Bitcoin.",US,CleanSpark,-,"CleanSpark, Inc. - Common Stock",CLSK
Specialty Retailers,"Urban Outfitters, Inc. is a lifestyle specialty retail company. The Company operates through two segments: Retail and Wholesale. The Companys Retail segment consists of its Urban Outfitters, Anthropologie, Free People, Terrain and Bhldn brands, whose merchandise is sold to its customers through retail stores, Websites, mobile applications, catalogs and customer contact centers. The Retail segment also includes Vetri Family, which operates restaurants under the names Amis, Alla Spina, Lo Spiedo, Pizzeria Vetri and Osteria. Its Wholesale segment consists of the Free People wholesale division that primarily designs, develops and markets young womens contemporary casual apparel and shoes through individual and chain specialty stores and department stores. The Companys Wholesale segment includes Free People-branded tops, bottoms, sweaters, dresses, intimates, shoes and activewear, which are sold through department and specialty stores around the world, and its Free People stores.",US,Urban Outfitters,-,"Urban Outfitters, Inc. - Common Stock",URBN
Software  IT Services,"Olo Inc provides a cloud-based, on-demand commerce platform for multi-location restaurant brands. Its platform powers restaurant brands on-demand commerce operations, enabling digital ordering and delivery, while enhancing the restaurants direct consumer relationships. The Company provides restaurants with a business-to-business-to-consumer, enterprise-grade, open Software-as-a-Service SaaS platform to manage their digital businesses and enable fast and more personalized experiences for their customers. Its platform and application programming interfaces, that integrate with a wide range of solutions, unifying technologies across the restaurant ecosystem. Its open SaaS platform includes various core modules: Ordering, Dispatch and Rails. Its Ordering is a fully-integrated, white-label, on-demand commerce solution. Its Dispatch is a fulfillment solution, enabling restaurants to offer, manage and expand direct delivery. Its Rails is an aggregator and channel management solution.",US,Olo,-,Olo Inc. Class A Common Stock,OLO
Healthcare Equipment  Supplies,"Stryker Corporation is a medical technology company. The Company offers a range of medical technologies, including orthopedic, medical and surgical, and neurotechnology and spine products. Its segments include Orthopaedics, MedSurg, Neurotechnology and Spine. The Orthopaedics segment includes reconstructive hip and knee and trauma implant systems and other related products. The MedSurg segment includes surgical equipment and surgical navigation systems endoscopic and communications systems patient handling, emergency medical equipment, intensive care disposable products reprocessed and remanufactured medical devices, and other related products. The Neurotechnology and Spine segment includes neurovascular products, spinal implant systems and other related products. Its products include implants, which are used in joint replacement and trauma surgeries, and other products. It offers musculoskeletal care and sensor technology for total joint replacement.",US,Stryker,-,Stryker Corporation Common Stock,SYK
Biotechnology  Medical Research,CRISPR Therapeutics AG is a Switzerland-based gene-editing company.,US,CRISPR Therapeutics AG,-,CRISPR Therapeutics AG - Common Shares,CRSP
Freight  Logistics Services,"Knight-Swift Transportation Holdings Inc., formerly Swift Transportation Company, provides truckload services in North America. The Company also provides rail intermodal and non-asset based freight brokerage and logistics management services. The Company provides its services across United States, Mexico and Canada using its dry van, refrigerated, flatbed and specialized trailers, and intermodal containers. As of September 1, 217, the Company had a fleet of approximately 23, tractors and 77, trailers. It operates through its Knight Transportation, Swift Transportation, and Barr-Nunn branded subsidiaries.",US,Knight-Swift Transportation,-,Knight-Swift Transportation Holdings Inc.,KNX
-,-,-,Vanguard High Dividend Yield ETF,The Fund seeks to track the performance of a benchmark index that measures the investment return of common stocks of companies that are characterized by high dividend yield. The Fund attempts to replicate the FTSE High Dividend Yield Index by investing substantially all of its assets in the stocks that make up the Index.,Vanguard High Dividend Yield ETF,VYM
Electrical Utilities  IPPs,"Pinnacle West Capital Corporation is a holding company that operates through its subsidiaries. The Company operates through regulated electricity segment, which consists of traditional regulated retail and wholesale electricity businesses and related activities, and includes electricity generation, transmission and distribution. It owned and leased 6,236 megawatt MW of regulated generation capacity and the Company held a mix of both long-term and short-term purchased power agreements for additional capacity, including agreements for the purchase of renewable energy, as of December 31, 216. Its subsidiaries include Arizona Public Service Company, which is a vertically-integrated electric utility that provides retail or wholesale electric service to the State of Arizona, with the exceptions of about one-half of the Phoenix metropolitan area, the Tucson metropolitan area and Mohave County in northwestern Arizona.",US,Pinnacle West Capital,-,Pinnacle West Capital Corporation Common Stock,PNW
Healthcare Equipment  Supplies,"ViewRay Inc. designs, manufactures and markets the ViewRay MRIdian. The MRIdian is a system that integrates high quality radiation therapy with simultaneous magnetic resonance imaging MRI. It provides two generations of the MRIdian: the first generation MRIdian with Cobalt-6 based radiation beams and the second generation MRIdian Linac, with linear accelerator linac based radiation beams. The MRIdian combines MRI and external-beam radiation therapy to simultaneously image and treat cancer patients. MRIdian also records the level of radiation dose that the treatment area has received. MRIdian system is comprised of three components: the MRI system, the radiation delivery system and an integrated treatment planning and delivery software. The MRI system is the component of MRIdian that captures soft tissue images of the patients body. Its MRI system captures and displays live images in one plane, four times per second or in three planes, two times per second.",US,ViewRay,-,"ViewRay, Inc. - Common Stock",VRAY
Media  Publishing,"Clear Channel Outdoor Holdings, Inc., formerly Clear Channel Holdings, Inc., is an outdoor advertising company. The Company is engaged in providing clients with advertising through billboards, street furniture displays, transit displays and other out-of-home advertising displays. The Company operates through two segments: Americas outdoor advertising Americas and International outdoor advertising International. Americas segment consists of operations primarily in the United States. Americas assets include printed and digital billboards, transit displays, including airports, street furniture and wallscapes and other spectaculars. Its International segment consists of operations primarily in Europe, Asia and Latin America. International assets include street furniture, billboards, transit displays, retail displays, public bike programs and other spectaculars, which it owns or operates under lease or license agreements.",US,Clear Channel Outdoor Holdings,-,"Clear Channel Outdoor Holdings, Inc. Common Stock",CCO
-,-,-,"United States Brent Oil Fund, LP ETV",The Fund seeks the daily changes in percentage terms of net asset value to reflect the daily changes in percentage terms of the spot price of Brent crude oil as measured by the changes in the price of the futures contract on Brent crude oil. Brent Crude Oil is a light crude oil that is ideal for production of gasoline.,"United States Brent Oil Fund, LP ETV",BNO
Diversified Retail,"Wayfair Inc. Wayfair is an online destinations for the home. The Company through its electronic commerce e-commerce platform, offer browsing, merchandising and product discovery for a range of products from various suppliers. The Company operates through two segments: U.S. and International. The U.S. segment consists of amounts earned through product sales through the Companys family of sites in the United States. The International segment consists of amounts earned through product sales through its international sites. The International segment includes Wayfair businesses in Canada, the United Kingdom and Germany. It has an online selection of furniture, decor, housewares and home improvement products. The Company offers various sites, including Websites, mobile-optimized Websites and mobile applications: Wayfair, Joss  Main, AllModern, Perigold and Birch Lane. Wayfair is an online destination for all things home. Birch Lane offers a collection of furnishings and home decor.",US,Wayfair,-,Wayfair Inc. Class A Common Stock,W
Aerospace  Defense,"Allegheny Technologies Incorporated is a manufacturer of specialty materials and complex components. The Company operates through two business segments: High Performance Materials  Components HPMC, and Flat Rolled Products FRP. The HPMC segment produces, converts and distributes a range of materials, including titanium and titanium-based alloys, nickel- and cobalt-based alloys and superalloys, zirconium and related alloys, including hafnium and niobium, advanced powder alloys and other specialty materials, in long product forms, such as ingot, billet, bar, rod, wire, shapes and rectangles, and seamless tubes, plus precision forgings, components and machined parts. The FRP segment produces, converts and distributes stainless steel, nickel-based alloys, specialty alloys, and titanium and titanium-based alloys, in a range of product forms, including plate, sheet, engineered strip, and Precision Rolled Strip products.",US,Allegheny Technologies,-,Allegheny Technologies Incorporated Common Stock,ATI
Containers  Packaging,"Graphic Packaging Holding Company is a provider of paper-based packaging solutions for a range of products to food, beverage and other consumer product companies. The Companys segments include Paperboard Mills, Americas Paperboard Packaging, Europe Paperboard Packaging, and Corporate and Other. The Paperboard Mills segment includes the Companys North American paperboard mills, which produce primarily coated unbleached kraft and coated recycled board. As of December 31, 216, the Company had seven paperboard mills in North America. The Americas Paperboard Packaging segment includes paperboard folding cartons sold primarily to consumer packaged goods CPG companies serving the food, beverage and consumer product markets in the Americas. The Europe Paperboard Packaging segment includes paperboard folding cartons sold primarily to CPG companies serving the food, beverage and consumer product markets in Europe. The Corporate and Other segment includes the Pacific Rim operating segment.",US,Graphic Packaging,-,Graphic Packaging Holding Company,GPK
Professional  Commercial Services,"R. R. Donnelley  Sons Company is focused on creating, managing, producing, distributing and processing content on behalf of its clients. The Company operates through two segments: Business Services and Marketing Solutions. The Companys Business Services segment provides customized solutions to help clients inform, service and transact with their customers and its primary product and service offerings include commercial print, packaging, statement printing, labels, supply chain management, forms and business process outsourcing. This segment also includes all of its operations in Asia, Canada, Europe and Latin America. The Marketing Solutions segments primary product and service offerings include direct marketing, in-store marketing, digital print, kitting, fulfillment, digital and creative solutions and list services.",US,R. R. Donnelley,-,R.R. Donnelley  Sons Company Common Stock,RRD
Residential  Commercial REIT,Brandywine Realty Trust is a self-administered and self-managed real estate investment trust REIT.,US,Brandywine Realty Trust ,-,Brandywine Realty Trust Common Stock,BDN
Software  IT Services,"Yext Inc. is a knowledge engine provider. Yext puts business on the map. The Yext Knowledge Engine enables companies to manage their digital knowledge in the cloud and sync it to over 1 services in the PowerListings Network, including Apple Maps, Bing, Cortana, Facebook, Google, Google Maps, Instagram, Siri and Yelp. Yext Listings, Pages and Reviews help businesses around the globe and facilitate face-to-face digital interactions. Yext Knowledge Engine enables businesses to control and manage their digital knowledge and makes it available through the PowerListings Network of over 1 third-party maps, apps, search engines, intelligent GPS systems, digital assistants, vertical directories and social networks in a complete, up to date and accurate manner.",US,Yext,-,"Yext, Inc. Common Stock",YEXT
Biotechnology & Medical Research,"Atea Pharmaceuticals, Inc., is a clinical-stage biopharmaceutical company.",US,"ATEA PHARMACEUTICALS, INC.",-,-,AVIR
Banking Services,"Valley National Bancorp is the bank holding company for Valley National Bank the Bank. The Bank provides a range of commercial, retail, insurance and wealth management financial services products. The Companys segments include Consumer Lending, Commercial Lending, Investment Management, and Corporate and Other Adjustments. The Consumer Lending segment primarily includes residential mortgages, home equity loans and automobile loans. The Commercial Lending segment primarily includes floating rate and adjustable rate commercial and industrial loans, as well as fixed rate owner occupied and commercial real estate loans. The Investment Management segment includes the Companys investments in various types of securities. As of July 26, 217, the Bank operated 2 branch locations serving northern and central New Jersey, the New York City boroughs of Manhattan, Brooklyn, Queens and Long Island, and Florida.",US,Valley National Bancorp,-,Valley National Bancorp - Common Stock,VLY
Leisure Products,"Callaway Golf Company designs, manufactures and sells golf clubs, golf balls, golf bags and other golf-related accessories. The Company has two segments: the golf clubs segment and golf balls segment. The golf clubs segment consists of its woods, hybrids, irons and wedges, and Odyssey putters. This segment also includes other golf-related accessories, royalties from licensing of its trademarks and service marks and sales of pre-owned golf clubs. The golf balls segment consists of Callaway Golf and Strata balls that are designed, manufactured and sold by the Company. It sells its products to retailers, directly and through its subsidiaries, and to third-party distributors. It sells pre-owned golf products through its Website, www.callawaygolfpreowned.com. In addition, it sells Callaway Golf and Odyssey products, including Toulon Design by Odyssey, directly to consumers through its Websites, www.callawaygolf.com and www.odysseygolf.com.",US,Callaway Golf ,-,Callaway Golf Company Common Stock,ELY
Automobiles  Auto Parts,"BorgWarner Inc. is engaged in providing technology solutions for combustion, hybrid and electric vehicles. The Companys segments include Engine and Drivetrain. The Engine segments products include turbochargers, timing devices and chains, emissions systems and thermal systems. The Engine segment develops and manufactures products for gasoline and diesel engines, and alternative powertrains. The Drivetrain segments products include transmission components and systems, all-wheel drive AWD torque transfer systems and rotating electrical devices. The Companys products are manufactured and sold across the world, primarily to original equipment manufacturers OEMs of light vehicles passenger cars, sport-utility vehicles SUVs, vans and light trucks. The Companys products are also sold to other OEMs of commercial vehicles medium-duty trucks, heavy-duty trucks and buses and off-highway vehicles agricultural and construction machinery and marine applications.",US,BorgWarner,-,BorgWarner Inc. Common Stock,BWA
Semiconductors  Semiconductor Equipment,"Kopin Corporation is a developer and provider of microdisplays, microdisplay subassemblies and related components for defense, enterprise, industrial, three-dimensional 3D metrology equipment and consumer products. The Company offers transmissive active-matrix liquid crystal displays AMLCDs, reflective liquid crystal on silicon LCOS displays and organic light emitting diode OLED, and related optics. It also offers miniature AMLCD, LCOS displays, OLED displays, application specific integrated circuits ASICs, backlights and optical lenses. The Companys products are used for soldier, avionic, armored vehicle and training and simulation defense applications industrial, public safety and medical headsets 3D optical inspection systems and consumer augmented reality AR and virtual reality VR wearable headsets systemsIts solutions include Kopinechnology, Display Products, Optical Lenses and Backlights and Headset Systems.",US,Kopin,-,Kopin Corporation - Common Stock,KOPN
Software  IT Services,"LegalZoom.com, Inc. is an online platform for legal and compliance solutions in the United States. The Company offers ongoing compliance, tax advice and filings, trademark filings, and estate plans. It also offers a range of services for families including estate planning services, divorce, name change, residential leases, deed transfers and attorney subscription services. The Company serve small business customers with transaction and subscription offerings. Transaction offerings include legal documents, business filings, and related services for small business owners and their families, such as business formations, annual compliance filings, intellectual property, estate planning documents, forms and agreements. Subscription offerings include compliance solutions and credentialed professional subscription services, including legal and tax advisory services. It also provides services, such as business license, bookkeeping, banking, productivity tools and business insurance.",US,LegalZoom.com,-,"LegalZoom.com, Inc. - Common Stock",LZ
Specialty Retailers,"PROG Holdings, Inc., formerly Aarons Holdings Company, Inc., is a provider of lease-purchase solutions. The Company has more than 3, retail partner locations in approximately 46 states and the District of Columbia, including e-commerce merchants. The Company operates through Progressive Leasing and Vive segments. Progressive Leasing segment provides lease-purchase solutions. Vive segment offers a variety of financing programs originated through third-party federally insured banks to customers of participating merchants and, together with Progressive Leasing, allows the Company to provide retail partners with below-prime customers one source for financing and leasing transactions.",US,PROG Holdings,-,"PROG Holdings, Inc. Common Stock",PRG
Renewable Energy,"Alto Ingredients, Inc., formerly Pacific Ethanol, Inc., is a producer of specialty alcohols and essential ingredients. The Company is focused on products for four markets: Health, Home  Beauty, Food  Beverage, Essential Ingredients and Renewable Fuels. Its subsidiary, Kinergy Marketing LLC, markets all specialty alcohol products for the Companys distilleries as well as fuel grade ethanol for third parties. The Companys subsidiary, Pacific Ag. Products LLC, markets wet and dry distillers grains. It operates in seven production distilleries. Three of its distilleries are located in the Midwestern state of Illinois and four of its distilleries are located in the Western states of California and Oregon. The Company offers all the ethanol and co-products produced at its plants as well as ethanol produced by third parties. Its customers include food and beverage companies and consumer products companies.",US,Alto Ingredients,-,"Alto Ingredients, Inc. - Common Stock",ALTO
Semiconductors  Semiconductor Equipment,"Entegris, Inc. is a global developer, manufacturer and supplier of microcontamination control products, specialty chemicals and materials handling solutions for manufacturing processes in the semiconductor and other high-technology industries. The Company operates in three business segments: Specialty Chemicals and Engineered Materials SCEM, Advanced Materials Handling AMH and Microcontamination Control MC. The SCEM segment provides process chemistries, gases, materials and delivery systems to support semiconductor and other manufacturing processes. The AMH segment develops solutions to monitor, protect, transport, and deliver critical liquid chemistries and substrates for a set of applications in the semiconductor industry and other high-technology industries. AMH offers wafer solutions, chemical containers and fluidics. MC offers solutions to purify critical liquid chemistries and gases used in semiconductor manufacturing processes and other high-technology industries.",US,Entegris,-,"Entegris, Inc. - Common Stock",ENTG
Construction  Engineering,"Fluor Corporation is a holding company. The Company operates its business in four segments: Energy  Chemicals Industrial, Mining, Infrastructure  Power Diversified Services, and Government. The Company, through its subsidiaries, offers professional services providing engineering, procurement, construction, fabrication and modularization, commissioning and maintenance, as well as project management services on a global basis. It is an integrated solutions provider for various industries, including oil and gas, chemicals and petrochemicals, mining and metals, transportation, power, life sciences and advanced manufacturing. It is also a service provider to the United States federal Government and governments abroad, and it performs operations and maintenance activities around the world for its industrial clients. It offers services in various categories, including engineering and design, procurement, construction, modification and asset integrity and project management.",US,Fluor,-,Fluor Corporation Common Stock,FLR
Pharmaceuticals,"Emergent BioSolutions Inc. is a life sciences company. The Company focuses on protecting and enhancing life by providing specialty products for civilian and military populations that address accidental, intentional and naturally emerging public health threats.",US,Emergent Biosolutions,-,"Emergent Biosolutions, Inc. Common Stock",EBS
